epoch,tr_loss,tr_f1_action,tr_f1_point,tr_auc_sgp,tr_overall,val_loss,val_f1_action,val_f1_point,val_auc_sgp,val_overall
1,4.664078881506323,0.03814765315486537,0.11556192067806201,0.5032672139839868,0.16213727232996833,4.6341783547327156,0.037894111038577455,0.10347743460883192,0.5190098674338787,0.16035059174573948
2,4.47838618533929,0.06806252777657426,0.14161847418068507,0.5048094204871381,0.18483428488033138,4.501588346059449,0.09535424952827663,0.12553378011949995,0.5163488957907749,0.19162499101726563
3,4.348789674340475,0.0981431760882154,0.15151289372716176,0.5086582545945226,0.2015940788450554,4.37546786340969,0.1144365575809447,0.13107114712244444,0.513728145027081,0.20094871088677185
4,4.25948866090736,0.11004263561328417,0.15334473341542268,0.5063885065349485,0.20663264891847244,4.276692971262234,0.12938066710442694,0.1479901198323129,0.5158285286773542,0.21411402051016679
5,4.187442939984205,0.12234671977038047,0.1582932724230145,0.5136190310125472,0.21497980307986744,4.206666260122139,0.1383870318294595,0.14979318971929018,0.5124964754557206,0.21777138371064403
6,4.131408249994948,0.1294712377426486,0.16178417472902817,0.517994415967735,0.2201010481822177,4.183194965588341,0.14283503534503383,0.15158812381747622,0.5109735460066719,0.2199639728663384
7,4.097822001291637,0.13382491403661997,0.16439207820474572,0.5117406133447397,0.22163491956549425,4.136787520019436,0.15187075233298333,0.157234702046879,0.5111307299622898,0.2258683277444029
8,4.057792670505364,0.14092357592756788,0.1683810524295893,0.5182413041724997,0.22737011217736283,4.1287787963296765,0.1557433171364659,0.1505042251324425,0.5081880983306399,0.22413663657369137
9,4.030041398912227,0.14625865296294194,0.1705037634364091,0.5220342226666762,0.23111181109307566,4.103318899220024,0.15790674652558945,0.15295766662605956,0.5065516397578232,0.22565609321222424
10,4.002810728501824,0.15485399340404105,0.17630256767166785,0.5219581919186528,0.23685426281401412,4.091338823146167,0.17136805065666033,0.156123065668003,0.5063009802018034,0.23225664257022602
11,3.978114933665957,0.16324747016509294,0.17766197182536406,0.522665285140945,0.24089683382437183,4.06915535288065,0.1739057596355911,0.16098950401822826,0.5031831790514786,0.23459474127182348
12,3.9556249345135077,0.16875754281361482,0.18120974193510647,0.5218498771654196,0.24435688933257246,4.059316721289329,0.18391563417998738,0.15832215118616272,0.5063514839664207,0.2381654109397442
13,3.9349340840592517,0.17601813810040567,0.183055212390611,0.5284535016058521,0.2493200405175771,4.037626059998605,0.19082550820039873,0.16114550239801448,0.5069768806970172,0.24218378037876873
14,3.9156031570075176,0.18326918234882125,0.184927513694671,0.5277485426755968,0.25282838695251625,4.022916125359936,0.20215398071943375,0.16537300104578032,0.5095740491243403,0.2489256025309537
15,3.894889984541594,0.1899251374146527,0.18692203876327396,0.5308457296467914,0.25690801640052896,4.008319649740915,0.20102062184015074,0.16716683071092767,0.5067269420812885,0.24862036943668908
16,3.8762659822466556,0.19558889291588374,0.18880659752645795,0.5283119469570394,0.2594205855683446,3.9982857362503577,0.20560261782995812,0.16707261692018807,0.5047105479749527,0.25001220349504905
17,3.8672279949624637,0.20259476249898764,0.1882883027846153,0.5298830027310617,0.26232982665965354,3.985180262093232,0.21272024307198542,0.16716744076447188,0.5050741864634657,0.25296991082727605
18,3.8583903716358168,0.20330222249242375,0.19115615932974592,0.5338445751389778,0.2645522677566634,3.9645174403799657,0.21888487220700417,0.17272483870309868,0.5065565914792978,0.2579552026599007
19,3.836103877726025,0.20995563045982343,0.19290478076077272,0.5346064367925083,0.26806545184674013,3.953231303491325,0.22380511630793365,0.1770425548581724,0.5085319868495937,0.2620454658363612
20,3.824552212557273,0.21417448156456012,0.19496212450707212,0.5335797202822059,0.2703705864850941,3.9605244698925555,0.22457547026063898,0.1723143295705296,0.5057790384030095,0.25991172761306935
21,3.8146638954953263,0.21470043286201235,0.19794403190718732,0.5347511843649131,0.2720080227806625,3.9245477762549092,0.2312930307575452,0.17852942914481346,0.5073501190746723,0.26539900777587794
22,3.805829028775201,0.21850498275051033,0.19717553637559052,0.5372152631202165,0.2737152602744837,3.919160885974254,0.23295763545407513,0.17875461862004596,0.5067737842281107,0.26603965847527056
